Gender,Age,Annual Income,Income Type,Employment Duration,Education Level,Marital Status,Occupation,Number of Children,Housing Type,Credit History,Loan Amount,Existing Loan Balance,Number of Credit Inquiries,Monthly Income,Employment Status,Approved
Male,61.0,52703.86,Working,27.4,Secondary / secondary special,Married,Accountants,0,House / apartment,Good,51990.47,0.0,1,4391.99,Employed,1
Female,44.3,49610.19,Working,22.5,Incomplete higher,Married,Core staff,2,With parents,Good,82761.63,90323.16,1,4134.18,Employed,1
Female,66.0,41121.77,State servant,0.0,Secondary / secondary special,Single / not married,Private service staff,0,House / apartment,Good,61048.81,6914.6,0,3426.81,Retired,1
Female,59.5,107120.18,Working,3.6,Secondary / secondary special,Married,Private service staff,0,House / apartment,Good,43118.69,17433.51,1,8926.68,Employed,1
Male,62.3,32558.24,Working,34.6,Higher education,Civil marriage,HR staff,0,Co-op apartment,Good,21607.63,4244.35,7,2713.19,Employed,1
Female,55.4,105470.21,Pensioner,0.0,Secondary / secondary special,Single / not married,High skill tech staff,3,House / apartment,Bad,96894.81,59075.65,0,8789.18,Retired,0
Male,28.1,62939.68,Commercial associate,3.2,Secondary / secondary special,Married,Sales staff,2,House / apartment,Good,35822.76,0.0,1,5244.97,Employed,1
Female,49.1,24351.46,Working,5.5,Secondary / secondary special,Widow,Core staff,2,House / apartment,Bad,11209.49,1140.08,0,2029.29,Employed,0
Female,74.1,58913.45,Commercial associate,0.0,Secondary / secondary special,Single / not married,Drivers,2,House / apartment,Good,14120.06,14282.24,1,4909.45,Retired,1
Male,71.4,17154.0,Pensioner,0.0,Secondary / secondary special,Civil marriage,Cleaning staff,0,House / apartment,Good,37660.69,0.0,0,1429.5,Retired,1
Female,20.5,67020.51,Working,0.6,Higher education,Single / not married,Sales staff,2,House / apartment,Good,53178.38,11705.25,1,5585.04,Employed,1
Female,27.4,76314.31,Working,3.9,Higher education,Civil marriage,Sales staff,3,House / apartment,Good,60804.91,66803.0,1,6359.53,Employed,1
Male,25.5,36454.57,Working,1.9,Secondary / secondary special,Married,Drivers,0,House / apartment,Good,21688.55,23434.35,0,3037.88,Employed,1
Male,59.4,52144.49,State servant,12.8,Secondary / secondary special,Married,Cleaning staff,0,With parents,Good,64708.9,24600.13,2,4345.37,Employed,1
Male,64.6,130232.78,Commercial associate,5.4,Secondary / secondary special,Civil marriage,Sales staff,1,House / apartment,Good,173754.06,6679.93,1,10852.73,Employed,1
Male,30.2,38067.9,Working,3.6,Secondary / secondary special,Married,Low-skill Laborers,3,House / apartment,Good,22835.99,0.0,0,3172.32,Employed,1
Male,46.8,28869.65,Pensioner,0.0,Secondary / secondary special,Married,Medicine staff,2,House / apartment,Good,45053.08,43075.29,4,2405.8,Retired,0
Female,65.9,102829.93,Working,0.0,Secondary / secondary special,Single / not married,Cooking staff,2,House / apartment,Good,188713.47,17996.36,0,8569.16,Retired,1
Male,59.8,130782.85,Working,22.9,Secondary / secondary special,Civil marriage,Core staff,2,With parents,Bad,130418.78,110031.22,2,10898.57,Employed,0
Male,48.9,49111.47,Working,13.7,Higher education,Married,Managers,2,Rented apartment,Good,73916.89,29191.06,0,4092.62,Employed,1
Female,51.6,81286.2,Working,11.7,Higher education,Civil marriage,Realty agents,1,House / apartment,Good,106121.13,109509.21,1,6773.85,Employed,1
Male,47.0,95869.0,Pensioner,0.0,Higher education,Single / not married,Managers,1,Municipal apartment,Good,54579.77,63194.2,0,7989.08,Retired,1
Female,35.0,33818.32,Working,12.7,Higher education,Married,Security staff,0,House / apartment,Bad,62632.42,0.0,0,2818.19,Employed,0
Male,50.2,38458.96,Pensioner,0.0,Higher education,Civil marriage,HR staff,1,With parents,Good,77821.22,85945.32,0,3204.91,Retired,1
Male,57.3,90711.3,Working,35.1,Higher education,Married,High skill tech staff,0,House / apartment,Bad,150318.02,51444.07,2,7559.28,Employed,0
Female,67.8,113835.21,Working,0.0,Secondary / secondary special,Married,Managers,2,House / apartment,Good,99873.37,0.0,2,9486.27,Retired,1
Female,54.3,64954.38,State servant,27.4,Secondary / secondary special,Married,Security staff,0,House / apartment,Good,150973.59,168425.88,1,5412.86,Employed,0
Female,61.4,31574.11,Working,13.3,Lower secondary,Married,Low-skill Laborers,0,House / apartment,Good,37663.5,28677.85,3,2631.18,Employed,0
Female,27.1,132393.07,Working,6.8,Higher education,Married,Security staff,0,House / apartment,Good,97720.43,17951.42,3,11032.76,Employed,1
Female,44.3,37590.8,Working,4.0,Secondary / secondary special,Single / not married,High skill tech staff,1,With parents,Good,40589.16,17745.39,1,3132.57,Employed,1
Male,18.5,41457.79,Pensioner,0.0,Secondary / secondary special,Single / not married,Waiters/barmen staff,0,With parents,Good,73006.35,41054.33,1,3454.82,Retired,1
Male,32.1,58172.55,Working,1.8,Higher education,Married,Secretaries,0,House / apartment,Bad,123921.28,104501.98,0,4847.71,Employed,0
Female,59.4,106625.74,Working,13.8,Secondary / secondary special,Single / not married,Sales staff,0,House / apartment,Good,101910.88,80598.44,2,8885.48,Employed,1
Female,74.5,75130.96,Working,0.0,Higher education,Married,Drivers,0,With parents,Good,49458.61,1639.02,2,6260.91,Retired,1
Female,23.7,60320.83,Working,4.6,Incomplete higher,Married,Realty agents,0,House / apartment,Bad,96729.49,34819.82,0,5026.74,Employed,0
Male,40.9,61799.11,Commercial associate,5.6,Incomplete higher,Civil marriage,Waiters/barmen staff,0,House / apartment,Good,142812.57,0.0,1,5149.93,Employed,1
Male,63.6,50099.05,Working,2.5,Secondary / secondary special,Married,HR staff,0,House / apartment,Bad,27048.68,0.0,3,4174.92,Employed,0
Female,29.6,64800.58,Working,1.5,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Good,131366.74,157264.41,0,5400.05,Employed,0
Male,49.6,15000.0,Working,27.2,Secondary / secondary special,Single / not married,Security staff,0,House / apartment,Bad,18657.86,5873.83,0,1250.0,Employed,0
Female,59.8,42264.23,Working,25.4,Secondary / secondary special,Married,Secretaries,0,House / apartment,Good,85324.29,0.0,0,3522.02,Employed,1
Female,53.1,55307.34,State servant,8.9,Secondary / secondary special,Civil marriage,Accountants,2,House / apartment,Good,72635.07,5668.96,0,4608.95,Employed,1
Male,28.7,27570.26,Working,6.0,Higher education,Married,Waiters/barmen staff,0,House / apartment,Good,27724.29,22165.06,0,2297.52,Employed,1
Female,38.3,59466.1,State servant,10.7,Higher education,Married,High skill tech staff,0,Municipal apartment,Good,105384.54,53828.75,0,4955.51,Employed,1
Female,62.7,44256.8,Working,26.2,Secondary / secondary special,Married,Secretaries,0,House / apartment,Good,100087.0,0.0,0,3688.07,Employed,1
Male,49.6,117917.19,Working,7.4,Secondary / secondary special,Married,Medicine staff,0,House / apartment,Good,102423.36,91468.1,3,9826.43,Employed,0
Female,18.3,107635.94,Pensioner,0.0,Incomplete higher,Married,Core staff,0,House / apartment,Bad,129786.93,33441.22,0,8969.66,Retired,0
Female,61.4,38835.78,Working,34.6,Higher education,Married,Medicine staff,0,House / apartment,Bad,25265.06,29758.84,0,3236.31,Employed,0
Female,20.0,45459.68,Commercial associate,0.6,Secondary / secondary special,Civil marriage,Laborers,1,House / apartment,Bad,24556.54,0.0,0,3788.31,Employed,0
Male,60.5,47241.41,State servant,27.8,Higher education,Separated,IT staff,1,House / apartment,Bad,92920.86,26447.26,0,3936.78,Employed,0
Female,29.5,39111.44,Working,0.2,Secondary / secondary special,Married,Drivers,0,House / apartment,Good,22746.97,21851.01,7,3259.29,Employed,0
Male,72.6,54041.77,Working,0.0,Secondary / secondary special,Married,HR staff,1,House / apartment,Bad,108297.73,104678.21,2,4503.48,Retired,0
Male,39.0,33552.24,Commercial associate,7.8,Secondary / secondary special,Married,Accountants,0,House / apartment,Bad,37918.09,45472.27,1,2796.02,Employed,0
Female,36.6,27852.9,Working,6.6,Higher education,Separated,Accountants,2,House / apartment,Good,69301.27,12422.63,1,2321.07,Employed,1
Male,26.5,66926.86,Working,4.6,Secondary / secondary special,Widow,Realty agents,0,House / apartment,Good,38390.54,34210.27,1,5577.24,Employed,1
Male,35.4,67155.41,Working,1.3,Secondary / secondary special,Married,Realty agents,1,House / apartment,Bad,21701.08,11981.69,0,5596.28,Employed,0
Female,68.0,32788.8,Working,0.0,Secondary / secondary special,Single / not married,Core staff,0,Municipal apartment,Good,9214.94,9342.74,0,2732.4,Retired,1
Female,74.8,76701.59,Commercial associate,0.0,Secondary / secondary special,Married,Secretaries,2,House / apartment,Good,161457.09,127433.03,0,6391.8,Retired,0
Female,39.0,35746.62,Working,16.6,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Good,41132.32,28426.26,6,2978.89,Employed,0
Female,43.6,55635.83,Working,5.6,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,5980.76,0.0,0,4636.32,Employed,1
Male,59.2,73878.12,Commercial associate,27.1,Secondary / secondary special,Married,Security staff,1,With parents,Bad,162491.33,0.0,1,6156.51,Employed,0
Male,68.5,48203.83,Working,0.0,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Good,106270.66,18490.08,0,4016.99,Retired,1
Male,51.8,61535.56,Working,27.2,Incomplete higher,Married,Drivers,1,House / apartment,Good,125249.47,140351.25,0,5127.96,Employed,0
Female,40.3,37865.1,Commercial associate,12.5,Secondary / secondary special,Single / not married,Cleaning staff,1,House / apartment,Good,26352.76,0.0,1,3155.43,Employed,1
Female,41.5,44434.29,Working,17.4,Higher education,Married,Medicine staff,0,House / apartment,Good,44194.63,43395.64,0,3702.86,Employed,1
Female,57.7,44226.1,Commercial associate,26.2,Secondary / secondary special,Married,Drivers,0,House / apartment,Good,83491.04,28221.49,3,3685.51,Employed,1
Female,18.2,33749.16,Pensioner,0.0,Secondary / secondary special,Married,Cleaning staff,0,House / apartment,Good,43011.53,46601.0,0,2812.43,Retired,0
Male,53.3,44873.96,Working,12.6,Higher education,Married,Drivers,1,House / apartment,Bad,21054.13,0.0,0,3739.5,Employed,0
Female,38.3,22599.68,Working,16.4,Academic degree,Married,IT staff,0,Rented apartment,Good,15429.16,13096.48,1,1883.31,Employed,1
Male,63.3,38346.68,Working,11.8,Higher education,Married,Managers,1,House / apartment,Good,93344.05,0.0,2,3195.56,Employed,1
Female,23.3,42512.88,Working,3.0,Secondary / secondary special,Married,Secretaries,3,House / apartment,Bad,19659.29,15704.57,0,3542.74,Employed,0
Male,51.5,43127.24,Pensioner,0.0,Secondary / secondary special,Married,Core staff,0,House / apartment,Good,79465.99,0.0,1,3593.94,Retired,1
Female,45.4,43445.01,Pensioner,0.0,Secondary / secondary special,Married,IT staff,4,House / apartment,Good,54186.53,0.0,2,3620.42,Retired,1
Male,54.6,47530.07,Working,27.3,Incomplete higher,Married,Private service staff,1,House / apartment,Good,90147.63,0.0,0,3960.84,Employed,1
Male,21.7,62300.25,Commercial associate,1.4,Secondary / secondary special,Single / not married,IT staff,0,Municipal apartment,Good,105080.08,0.0,3,5191.69,Employed,1
Male,51.1,75906.57,State servant,10.0,Secondary / secondary special,Single / not married,Cooking staff,0,House / apartment,Bad,87596.28,9348.48,0,6325.55,Employed,0
Female,50.0,35423.03,State servant,14.7,Higher education,Married,Realty agents,1,House / apartment,Bad,33630.13,36779.92,0,2951.92,Employed,0
Female,50.0,26860.16,Working,26.1,Higher education,Married,Realty agents,0,House / apartment,Good,51315.33,16348.85,1,2238.35,Employed,1
Male,52.4,29114.1,Working,32.0,Higher education,Married,Low-skill Laborers,0,With parents,Good,25490.52,7473.29,0,2426.17,Employed,1
Male,56.6,38422.5,Working,21.0,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Good,76485.81,66613.3,1,3201.88,Employed,0
Female,63.9,41111.34,State servant,26.5,Higher education,Married,HR staff,1,House / apartment,Good,71189.36,65346.65,1,3425.95,Employed,1
Male,33.4,33356.3,Working,13.9,Higher education,Married,Realty agents,1,House / apartment,Good,49581.01,48465.16,0,2779.69,Employed,1
Female,65.0,25640.84,Working,0.0,Secondary / secondary special,Married,Realty agents,1,House / apartment,Good,25259.36,10926.8,3,2136.74,Retired,1
Female,46.4,39024.29,Working,2.8,Secondary / secondary special,Separated,HR staff,0,House / apartment,Good,23110.0,24647.0,1,3252.02,Employed,1
Male,22.4,53675.57,Working,1.0,Secondary / secondary special,Married,IT staff,2,With parents,Bad,96884.81,100792.39,1,4472.96,Employed,0
Male,21.3,66006.91,Working,2.4,Higher education,Married,Accountants,3,House / apartment,Bad,21071.92,15009.14,0,5500.58,Employed,0
Female,37.1,37096.89,Student,15.7,Higher education,Married,Private service staff,0,House / apartment,Good,90119.53,0.0,0,3091.41,Employed,1
Male,62.7,39874.85,Working,34.3,Incomplete higher,Separated,Core staff,0,House / apartment,Good,97653.31,0.0,2,3322.9,Employed,1
Male,58.3,30842.56,Working,16.6,Secondary / secondary special,Single / not married,Cooking staff,2,House / apartment,Good,12723.61,8967.36,2,2570.21,Employed,1
Female,63.0,48256.24,Working,3.6,Incomplete higher,Married,Drivers,2,House / apartment,Good,16862.89,14493.1,0,4021.35,Employed,1
Female,47.5,32073.51,Working,12.9,Incomplete higher,Civil marriage,Sales staff,1,House / apartment,Good,34976.81,35616.6,1,2672.79,Employed,1
Female,43.1,65288.02,Working,5.8,Secondary / secondary special,Married,Low-skill Laborers,3,House / apartment,Good,157529.55,0.0,1,5440.67,Employed,1
Female,26.4,20071.71,Working,2.4,Higher education,Single / not married,Private service staff,1,Municipal apartment,Good,21290.99,1307.08,0,1672.64,Employed,1
Male,36.7,40953.2,Working,14.4,Secondary / secondary special,Single / not married,Sales staff,0,House / apartment,Good,39852.58,12818.17,2,3412.77,Employed,1
Male,42.7,56985.59,Working,1.9,Secondary / secondary special,Married,High skill tech staff,1,House / apartment,Good,101924.66,43378.66,0,4748.8,Employed,1
Female,23.1,53740.24,Working,4.2,Secondary / secondary special,Single / not married,Waiters/barmen staff,1,House / apartment,Good,28426.16,0.0,0,4478.35,Employed,1
Female,30.6,188436.59,Working,5.4,Secondary / secondary special,Married,Managers,3,House / apartment,Good,183155.91,218606.68,0,15703.05,Employed,1
Male,52.1,58390.01,State servant,20.3,Secondary / secondary special,Married,Low-skill Laborers,0,House / apartment,Good,46661.66,0.0,0,4865.83,Employed,1
Female,59.9,29672.4,State servant,3.6,Higher education,Married,Realty agents,1,House / apartment,Good,45804.79,30109.59,0,2472.7,Employed,1
Male,74.9,46735.9,Working,0.0,Secondary / secondary special,Single / not married,Sales staff,1,House / apartment,Good,22928.96,2465.52,3,3894.66,Retired,1
Female,71.2,20168.49,Working,0.0,Secondary / secondary special,Married,High skill tech staff,0,Municipal apartment,Good,28576.39,0.0,2,1680.71,Retired,1
Male,54.6,47084.55,Pensioner,0.0,Secondary / secondary special,Married,HR staff,0,House / apartment,Bad,101613.72,34022.73,0,3923.71,Retired,0
Male,42.0,32320.98,Working,8.1,Secondary / secondary special,Single / not married,Sales staff,2,House / apartment,Good,43116.49,0.0,2,2693.42,Employed,1
Male,54.3,77473.8,Pensioner,0.0,Secondary / secondary special,Married,Private service staff,0,House / apartment,Good,134834.78,94499.16,1,6456.15,Retired,0
Male,62.8,37243.39,State servant,3.6,Secondary / secondary special,Married,Managers,1,Municipal apartment,Good,10450.32,4857.7,0,3103.62,Employed,1
Male,24.7,46240.76,Working,6.5,Incomplete higher,Married,Laborers,2,Co-op apartment,Bad,54453.74,29726.3,0,3853.4,Employed,0
Female,41.4,35675.56,Working,18.9,Higher education,Married,Core staff,0,House / apartment,Bad,11692.44,0.0,0,2972.96,Employed,0
Female,65.9,116941.1,State servant,0.0,Secondary / secondary special,Married,Low-skill Laborers,3,House / apartment,Good,179938.21,126817.53,0,9745.09,Retired,1
Female,39.9,41746.82,Working,10.1,Higher education,Married,Low-skill Laborers,1,House / apartment,Good,32334.19,29091.75,2,3478.9,Employed,1
Female,50.6,122550.51,Working,7.3,Secondary / secondary special,Widow,Core staff,0,House / apartment,Good,96746.03,32135.95,1,10212.54,Employed,1
Male,51.5,73649.74,Working,31.3,Secondary / secondary special,Single / not married,HR staff,0,House / apartment,Bad,20934.21,0.0,3,6137.48,Employed,0
Male,28.5,62382.08,Working,3.6,Incomplete higher,Married,Private service staff,3,Rented apartment,Good,52686.09,46340.77,2,5198.51,Employed,1
Female,38.6,58945.38,Commercial associate,3.3,Secondary / secondary special,Married,Laborers,0,House / apartment,Bad,77573.61,0.0,0,4912.12,Employed,0
Male,37.1,59688.74,Commercial associate,10.7,Lower secondary,Married,Security staff,0,With parents,Good,89723.17,58480.11,2,4974.06,Employed,0
Female,19.5,18697.85,Student,1.4,Higher education,Married,IT staff,0,House / apartment,Good,5000.0,4160.35,0,1558.15,Employed,1
Male,19.4,42640.44,Working,0.0,Secondary / secondary special,Married,Cooking staff,0,House / apartment,Bad,70932.45,0.0,0,3553.37,Employed,0
Female,65.4,74800.44,Working,0.0,Higher education,Married,Realty agents,0,House / apartment,Bad,95243.53,55542.56,1,6233.37,Retired,0
Male,33.6,47836.84,Working,3.7,Incomplete higher,Civil marriage,Accountants,3,House / apartment,Good,66425.25,0.0,0,3986.4,Employed,1
Female,47.5,24279.92,Working,27.7,Secondary / secondary special,Married,Secretaries,2,With parents,Good,50956.57,48723.37,0,2023.33,Employed,0
Female,35.0,47753.03,Working,2.9,Secondary / secondary special,Married,Security staff,0,House / apartment,Good,43996.94,0.0,1,3979.42,Employed,1
Female,71.6,114927.04,State servant,0.0,Secondary / secondary special,Civil marriage,Cooking staff,0,House / apartment,Good,59500.33,7170.71,3,9577.25,Retired,1
Male,32.8,91440.69,Pensioner,0.0,Higher education,Single / not married,Managers,1,House / apartment,Good,130243.04,50532.23,0,7620.06,Retired,1
Female,42.5,47524.37,Working,2.8,Higher education,Married,High skill tech staff,0,House / apartment,Good,112540.22,43738.34,0,3960.36,Employed,1
Female,67.7,78883.29,Commercial associate,0.0,Incomplete higher,Single / not married,Managers,2,With parents,Good,105931.35,94995.28,1,6573.61,Retired,1
Female,66.0,40812.61,Working,0.0,Secondary / secondary special,Married,Drivers,2,House / apartment,Good,85567.29,53166.88,1,3401.05,Retired,1
Female,28.6,20911.7,Working,6.0,Higher education,Single / not married,Security staff,2,House / apartment,Good,40085.16,24612.12,0,1742.64,Employed,1
Female,63.8,30877.0,Commercial associate,34.5,Secondary / secondary special,Married,Private service staff,0,House / apartment,Good,41498.51,0.0,3,2573.08,Employed,1
Male,44.1,107092.09,Working,12.5,Secondary / secondary special,Single / not married,Medicine staff,0,House / apartment,Good,177144.39,0.0,1,8924.34,Employed,1
Female,45.5,42744.83,Student,27.4,Higher education,Separated,Drivers,0,House / apartment,Good,45994.82,41381.34,1,3562.07,Employed,1
Female,25.6,43404.05,Commercial associate,5.2,Secondary / secondary special,Separated,Cleaning staff,0,House / apartment,Good,59615.85,2125.3,3,3617.0,Employed,1
Female,22.6,42196.01,Working,0.3,Higher education,Civil marriage,Cleaning staff,0,House / apartment,Good,55592.64,14928.79,3,3516.33,Employed,1
Male,59.5,127015.99,Commercial associate,39.7,Secondary / secondary special,Married,Low-skill Laborers,2,Rented apartment,Good,228865.66,232335.67,0,10584.67,Employed,1
Male,46.3,110523.06,Working,11.5,Incomplete higher,Married,Waiters/barmen staff,2,House / apartment,Good,119802.04,0.0,0,9210.25,Employed,1
Female,42.9,148655.99,Working,7.2,Lower secondary,Married,Medicine staff,3,House / apartment,Good,50459.95,44309.25,2,12388.0,Employed,1
Female,59.6,45273.51,Working,22.3,Secondary / secondary special,Single / not married,Realty agents,2,House / apartment,Good,90225.71,0.0,4,3772.79,Employed,1
Male,61.6,56829.58,Working,12.2,Higher education,Civil marriage,Private service staff,0,Municipal apartment,Good,99090.74,73763.68,1,4735.8,Employed,1
Female,27.1,22963.9,Commercial associate,0.8,Incomplete higher,Married,Private service staff,1,House / apartment,Bad,54660.89,0.0,0,1913.66,Employed,0
Male,52.8,102587.07,Working,0.0,Secondary / secondary special,Separated,Realty agents,0,House / apartment,Bad,115812.48,21535.32,1,8548.92,Employed,0
Male,25.7,27340.11,Commercial associate,3.5,Higher education,Single / not married,Cooking staff,0,House / apartment,Good,7865.57,7956.04,0,2278.34,Employed,1
Male,60.8,54632.69,Working,33.5,Incomplete higher,Widow,Accountants,1,House / apartment,Good,21409.76,924.48,7,4552.72,Employed,1
Male,55.4,28320.71,Working,21.4,Secondary / secondary special,Civil marriage,Realty agents,1,House / apartment,Good,55394.38,0.0,0,2360.06,Employed,1
Female,72.5,36518.22,Pensioner,0.0,Secondary / secondary special,Married,Private service staff,1,With parents,Good,9590.32,3774.54,4,3043.18,Retired,1
Male,21.9,32253.08,Working,3.9,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Good,73497.76,14432.35,0,2687.76,Employed,1
Female,21.3,36172.79,Working,0.9,Higher education,Married,Secretaries,0,House / apartment,Good,28068.65,28991.08,4,3014.4,Employed,1
Female,34.1,37437.89,Working,4.5,Higher education,Married,HR staff,0,House / apartment,Good,84508.92,30836.42,0,3119.82,Employed,1
Female,32.9,37267.08,Working,2.4,Secondary / secondary special,Married,Core staff,0,House / apartment,Bad,72909.92,24413.95,2,3105.59,Employed,0
Female,32.1,74359.52,Working,2.3,Higher education,Single / not married,Realty agents,0,House / apartment,Good,162912.97,23562.1,4,6196.63,Employed,1
Male,69.7,28213.86,Commercial associate,0.0,Secondary / secondary special,Civil marriage,Private service staff,1,House / apartment,Good,17314.71,9136.53,1,2351.15,Retired,1
Female,32.2,54735.66,Working,4.1,Secondary / secondary special,Married,HR staff,2,House / apartment,Good,83727.19,74242.33,1,4561.31,Employed,1
Female,33.5,90127.41,Working,12.3,Secondary / secondary special,Married,Low-skill Laborers,0,House / apartment,Good,29256.61,31721.39,0,7510.62,Employed,1
Male,61.3,37926.37,State servant,36.2,Secondary / secondary special,Married,IT staff,1,House / apartment,Good,22204.9,0.0,1,3160.53,Employed,1
Female,43.6,34236.26,Working,25.0,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,28887.37,26594.98,3,2853.02,Employed,1
Female,62.3,43684.02,Pensioner,0.0,Secondary / secondary special,Married,Sales staff,3,House / apartment,Good,82036.42,5306.57,0,3640.34,Retired,1
Female,21.7,88420.81,Working,0.9,Secondary / secondary special,Married,Cooking staff,0,Rented apartment,Good,14086.72,0.0,2,7368.4,Employed,1
Female,45.8,54016.99,Working,24.5,Higher education,Married,Laborers,2,Office apartment,Good,122482.51,135551.35,1,4501.42,Employed,1
Female,19.9,37586.22,Pensioner,0.0,Secondary / secondary special,Married,High skill tech staff,3,House / apartment,Good,10145.59,0.0,0,3132.19,Retired,1
Male,21.6,62438.56,Working,1.2,Secondary / secondary special,Married,Sales staff,2,House / apartment,Good,62661.87,0.0,0,5203.21,Employed,1
Female,69.7,28250.15,Commercial associate,0.0,Higher education,Married,Managers,0,House / apartment,Bad,8322.92,0.0,0,2354.18,Retired,0
Female,25.9,68918.49,Working,0.9,Secondary / secondary special,Married,Sales staff,1,House / apartment,Good,134082.49,123434.16,0,5743.21,Employed,1
Male,48.3,60132.37,Working,26.4,Higher education,Married,Medicine staff,0,House / apartment,Good,26407.49,63.73,3,5011.03,Employed,1
Male,41.4,42028.19,Working,14.9,Secondary / secondary special,Married,Medicine staff,0,House / apartment,Bad,93446.17,26683.23,2,3502.35,Employed,0
Male,37.8,32231.74,Working,3.3,Incomplete higher,Separated,Accountants,0,House / apartment,Good,44239.13,23695.34,0,2685.98,Employed,1
Female,69.3,31465.89,Pensioner,0.0,Higher education,Married,Core staff,2,Municipal apartment,Good,74773.5,76476.14,0,2622.16,Retired,1
Female,19.2,64049.32,Working,0.5,Secondary / secondary special,Married,High skill tech staff,2,House / apartment,Good,51038.74,20576.1,1,5337.44,Employed,1
Male,55.8,90625.44,State servant,10.9,Secondary / secondary special,Single / not married,HR staff,0,House / apartment,Good,107876.79,34329.06,0,7552.12,Employed,1
Female,72.9,35644.36,State servant,0.0,Higher education,Married,Cooking staff,0,House / apartment,Good,62954.8,5396.06,0,2970.36,Retired,1
Male,49.9,61647.83,Working,23.5,Incomplete higher,Separated,Managers,3,House / apartment,Good,129250.35,14200.33,0,5137.32,Employed,1
Female,71.4,17265.86,Working,0.0,Secondary / secondary special,Married,Low-skill Laborers,0,House / apartment,Bad,19186.81,0.0,3,1438.82,Retired,0
Female,21.0,36595.89,Pensioner,0.0,Secondary / secondary special,Married,Cooking staff,0,House / apartment,Good,82042.05,94172.73,0,3049.66,Retired,0
Female,41.9,48265.41,State servant,10.8,Secondary / secondary special,Married,Waiters/barmen staff,0,House / apartment,Good,18493.83,4484.47,0,4022.12,Employed,1
Male,32.8,31106.07,Working,14.7,Secondary / secondary special,Married,Security staff,1,House / apartment,Good,56017.16,0.0,5,2592.17,Employed,0
Male,59.7,30691.68,Working,2.2,Secondary / secondary special,Married,Cleaning staff,0,House / apartment,Good,28717.51,11616.36,0,2557.64,Employed,1
Male,73.9,35105.4,Working,0.0,Higher education,Married,Realty agents,1,House / apartment,Good,12048.35,6419.35,3,2925.45,Retired,1
Male,32.6,56732.15,Commercial associate,5.2,Secondary / secondary special,Married,Cleaning staff,0,House / apartment,Good,58320.36,52398.26,0,4727.68,Employed,1
Female,55.3,44637.76,Working,18.0,Secondary / secondary special,Married,IT staff,0,With parents,Good,98761.83,98783.02,0,3719.81,Employed,1
Female,29.3,16008.65,Commercial associate,5.7,Secondary / secondary special,Married,Core staff,0,House / apartment,Good,39273.72,0.0,0,1334.05,Employed,1
Female,50.2,16977.6,Working,10.2,Higher education,Single / not married,Sales staff,0,House / apartment,Bad,17702.87,0.0,0,1414.8,Employed,0
Female,44.4,36191.06,Working,19.3,Secondary / secondary special,Married,Cleaning staff,0,House / apartment,Bad,80611.94,23680.28,0,3015.92,Employed,0
Female,73.4,61626.26,Working,0.0,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,81542.05,0.0,0,5135.52,Retired,1
Female,52.7,15000.0,Working,30.3,Secondary / secondary special,Married,Sales staff,2,House / apartment,Good,27312.54,20416.79,0,1250.0,Employed,0
Female,37.9,38182.59,Working,18.7,Secondary / secondary special,Single / not married,Secretaries,0,With parents,Good,7976.02,6946.18,0,3181.88,Employed,1
Female,24.5,37679.67,Working,5.2,Secondary / secondary special,Married,Cleaning staff,1,House / apartment,Good,54166.37,61987.95,1,3139.97,Employed,0
Male,26.6,98141.82,Working,7.3,Incomplete higher,Married,Cleaning staff,3,House / apartment,Good,26340.15,0.0,2,8178.49,Employed,1
Male,30.8,40436.54,Working,7.1,Secondary / secondary special,Married,Cleaning staff,2,House / apartment,Good,30112.41,28087.27,3,3369.71,Employed,1
Male,32.3,59367.04,Working,11.8,Secondary / secondary special,Married,Laborers,3,House / apartment,Good,86696.92,78544.12,1,4947.25,Employed,1
Female,66.5,52608.27,State servant,0.0,Secondary / secondary special,Separated,Drivers,1,House / apartment,Good,107173.2,95683.45,4,4384.02,Retired,0
Female,50.0,16894.05,Working,9.7,Secondary / secondary special,Single / not married,Cooking staff,0,House / apartment,Bad,24431.24,16471.93,0,1407.84,Employed,0
Male,47.8,71977.12,Working,11.9,Higher education,Married,Cooking staff,2,House / apartment,Good,168920.21,91034.02,0,5998.09,Employed,1
Female,24.5,54595.04,Working,2.1,Secondary / secondary special,Married,Waiters/barmen staff,2,House / apartment,Good,111635.82,62361.74,0,4549.59,Employed,1
Female,67.0,63204.72,State servant,0.0,Secondary / secondary special,Civil marriage,Core staff,2,With parents,Good,30020.75,0.0,2,5267.06,Retired,1
Male,59.2,349101.8,Working,18.7,Higher education,Married,Managers,1,House / apartment,Bad,360796.84,0.0,3,29091.82,Employed,0
Male,21.9,17291.04,Commercial associate,1.1,Secondary / secondary special,Widow,Core staff,1,House / apartment,Good,29470.24,21662.1,1,1440.92,Employed,1
